Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2026-06-18,ACA,8807,SEA,YVR,Main,A6,I,E86,false,,2026-06-18T15:00,2026-06-18T15:03,,,,,2026-06-18T16:06,2026-06-18T16:11,DHC-8-400 Dash 8Q,,,,,,,,554c10d4-d256-4b2a-b39d-2444ac371992,e01c58da-cfd8-4db7-9078-f950d668ba1a,b3f217fd-4bc7-4806-9efe-abe9446a74df,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2026-06-18,ACA,244,YVR,YEG,D,C40,,52,false,,2026-06-18T18:00,2026-06-18T18:11,,,,,2026-06-18T20:34,2026-06-18T20:44,Airbus A220-300,,,,,,,,620d1551-2a89-4a0d-b821-a5895d015cd8,e01c58da-cfd8-4db7-9078-f950d668ba1a,c71de46b-62e9-43fb-83e7-1f44a3a393fe,daf6cd5c-a0ec-411f-8429-cc2af48773ab,,c6158951-56ef-48ec-b8ae-5f7e9c0c24c0
2026-06-22,ACA,8121,YEG,YVR,,74,D,C29,false,,2026-06-22T13:15,2026-06-22T14:07,,,,,2026-06-22T13:57,2026-06-22T14:50,"Bombardier CRJ900 ",,,,,,,,4dac7c1c-a62a-495f-9a83-d43bd4dc3223,e01c58da-cfd8-4db7-9078-f950d668ba1a,daf6cd5c-a0ec-411f-8429-cc2af48773ab,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,8a4bd3f7-3aac-4e32-8a52-07e5525b36e3
2026-06-22,ACA,8806,YVR,SEA,I,E83,Main,S1A,false,,2026-06-22T17:25,2026-06-22T17:37,,,,,2026-06-22T18:32,2026-06-22T18:45,DHC-8-400 Dash 8Q,,,,,,,,6fcfae8a-b3d2-43ed-a24f-9dfb343ec7fb,e01c58da-cfd8-4db7-9078-f950d668ba1a,c71de46b-62e9-43fb-83e7-1f44a3a393fe,b3f217fd-4bc7-4806-9efe-abe9446a74df,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2026-08-13,ASA,1357,SEA,SNA,Main,C17,B,11,false,,2026-08-13T11:06,,,,,,2026-08-13T13:55,,Boeing 737-800,,,,,,,,ef3c0dcc-ecf9-46cb-b99c-77c47aad443b,45411282-5411-46ac-89ce-720ab9efe700,b3f217fd-4bc7-4806-9efe-abe9446a74df,1994cd57-1fbf-443e-b905-9eb6354ccf12,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-08-19,ASA,1378,SNA,SEA,Main,,Main,,false,,2026-08-19T10:36,,,,,,2026-08-19T13:25,,Boeing 737-800,,,,,,,,0cc36998-160a-442c-99b1-1ae93408b279,45411282-5411-46ac-89ce-720ab9efe700,1994cd57-1fbf-443e-b905-9eb6354ccf12,b3f217fd-4bc7-4806-9efe-abe9446a74df,,bfed5d53-9645-4ae2-aa8b-808123bd938b
2026-09-05,ACA,540,SEA,YYZ,Main,,1,,false,,2026-09-05T08:00,,,,,,2026-09-05T15:39,,Airbus A220-300,,,,,,,,f09ddc7f-c522-4bdd-aaa9-dd60fc2af9e6,e01c58da-cfd8-4db7-9078-f950d668ba1a,b3f217fd-4bc7-4806-9efe-abe9446a74df,54b344b9-4034-43bf-9f74-6934fe37e671,,c6158951-56ef-48ec-b8ae-5f7e9c0c24c0
2026-09-15,ACA,541,YYZ,SEA,1,,Main,,false,,2026-09-15T19:20,,,,,,2026-09-15T21:39,,Airbus A220-300,,,,,,,,bdea5876-0bd1-4086-b010-ccd83a753b6b,e01c58da-cfd8-4db7-9078-f950d668ba1a,54b344b9-4034-43bf-9f74-6934fe37e671,b3f217fd-4bc7-4806-9efe-abe9446a74df,,c6158951-56ef-48ec-b8ae-5f7e9c0c24c0
2027-01-06,ACA,8811,SEA,YVR,Main,,M,,false,,2027-01-06T19:05,,,,,,2027-01-06T21:09,,"Bombardier CRJ900 ",,,,,,,,3549a995-e24b-484c-ab6d-dfcb4577d80a,e01c58da-cfd8-4db7-9078-f950d668ba1a,b3f217fd-4bc7-4806-9efe-abe9446a74df,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,8a4bd3f7-3aac-4e32-8a52-07e5525b36e3
2027-01-07,ACA,55,YVR,CTS,M,,D,,false,,2027-01-07T14:25,,,,,,2027-01-08T15:35,,Boeing 787-9,,,,,,,,ec91376e-d727-4bcc-8f93-b9cc2bf91428,e01c58da-cfd8-4db7-9078-f950d668ba1a,c71de46b-62e9-43fb-83e7-1f44a3a393fe,989b8d16-a970-4003-9c46-16b99b099848,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2027-01-16,ANA,66,CTS,HND,D,,2,,false,,2027-01-16T14:30,,,,,,2027-01-16T16:10,,Boeing 777-200 ER,,,,,,,,fd47d3cb-7fb1-406c-8064-0472019d0122,c1ace35c-3515-410b-ad40-219189967eff,989b8d16-a970-4003-9c46-16b99b099848,deceac13-5547-4a5a-9877-06e35ae80304,,a0f171e1-86df-426a-8922-e460c0660ae6
2027-01-21,ASA,124,NRT,SEA,2,,Main,,false,,2027-01-21T17:25,,,,,,2027-01-21T09:10,,Boeing 787-9,,,,,,,,6c58ed18-2c73-4c91-bffb-a8deac19fbdb,45411282-5411-46ac-89ce-720ab9efe700,42cbe764-fc30-49b0-9e72-eca5f6c21767,b3f217fd-4bc7-4806-9efe-abe9446a74df,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2019-04-27,ACA,15,YYZ,HKG,1,E75,1,,false,,2019-04-27T09:50,2019-04-27T09:56,2019-04-27T10:00,2019-04-27T10:12,2019-04-28T12:44,2019-04-28T12:47,2019-04-28T13:25,2019-04-28T12:52,Boeing 777-200 LR,CFIUJ,,,,,,,,e01c58da-cfd8-4db7-9078-f950d668ba1a,54b344b9-4034-43bf-9f74-6934fe37e671,7da61aa8-3d56-411b-8be5-50a198e86c60,,d2ced67b-2371-4059-8857-9a4528621b4b
